segment_id language source channel segment_type speaker_id gender segment_len dialect mic_type phone_type
xaaa E 11595 X1 1c 4598 M 320 dial=R - -
xaaa E 11595 X2 1c 2646 F 320 nontar - -
xaab E 10449 B 1s 6768 F 320 dial=E handset cordless_phone
xaac E 11409 A 1s 2647 F 320 dial=E handset regular_phone
xaad E 12881 B 30 1122 F 51.09 dial=E handset regular_phone
xaae E 11202 A 10 2308 M 23.95 dial=M headphone cordless_phone
xaaf M 13411 A 30 7813 M 67.14 dial=M spkr_phone regular_phone
xaag E 11662 B 1s 2525 M 320 dial=E handset regular_phone
xaah S 13029 A 10 6054 F 37.14 dial=S headphone cellphone
xaai E 12617 A 10 3372 F 11.19 dial=S handset regular_phone
xaaj E 11621 B 30 7513 M 43.83 dial=M spkr_phone cellphone
xaak E 16302 B 10 4415 F 22.1 dial=E handset cellphone
xaal E 16069 B 10 4415 F 23.9 dial=E handset regular_phone
xaam E 12625 A 30 3436 F 50.05 dial=S handset regular_phone
xaan E 12853 B 30 2125 F 77.04 dial=R handset cellphone
xaao E 11582 B 1s 3449 M 320 dial=A handset regular_phone
xaap M 13417 A 30 4781 F 137.22 dial=M handset cellphone
xaaq E 16534 B 1s 8075 F 320 dial=A handset cordless_phone
xaar E 10262 B 30 7850 F 87.57 dial=A unknown unknown
xaas E 11778 B 30 3710 M 31.34 dial=E handset regular_phone
xaat A 13285 X1 1c 2163 M 320 nontar - -
xaat A 13285 X2 1c 1577 M 320 dial=A - -
xaau E 12432 A 10 7427 F 10.69 dial=E handset cordless_phone
xaav E 14144 B 10 4330 M 14.52 dial=M spkr_phone regular_phone
xaaw A 12282 B 10 5172 F 11.01 dial=A handset cellphone
xaax E 12330 X1 1c 3077 M 320 dial=E - -
xaax E 12330 X2 1c 1668 F 320 dial=S - -
xaay E 12406 X1 1c 8577 F 320 dial=E - -
xaay E 12406 X2 1c 1901 F 320 dial=M - -
xaaz E 14062 B 10 8367 F 22.36 dial=E handset cellphone
xaba E 16440 B 10 2492 F 27.77 dial=E handset cellphone
xabb A 13030 B 10 2363 M 14.15 dial=A earbud regular_phone
xabc M 13882 B 1s 7863 F 320 dial=M spkr_phone cellphone
xabd M 14365 B 10 4330 M 12.1 dial=M spkr_phone regular_phone
xabe E 11025 A 30 3550 F 54.84 dial=E handset regular_phone
xabf E 12223 A 10 1289 F 13.77 dial=S handset regular_phone
xabg E 11598 A 10 4598 M 47.78 dial=R handset regular_phone
xabh E 15752 A 10 8898 M 9.99 dial=A handset regular_phone
xabi E 15192 X1 1c 2944 M 320 nontar - -
xabi E 15192 X2 1c 8835 F 320 dial=S - -
xabj E 12444 A 10 8668 M 42.37 dial=E handset regular_phone
xabk A 15073 X1 1c 3541 F 320 nontar - -
xabk A 15073 X2 1c 6968 F 320 dial=A - -
xabl E 15820 A 30 8480 F 33.89 dial=E handset cordless_phone
xabm E 12227 B 1s 2864 F 320 dial=R handset cellphone
xabn A 15892 B 10 3184 F 15.32 dial=A headphone cordless_phone
xabo E 11817 X1 1c 8120 M 320 nontar - -
xabo E 11817 X2 1c 8668 M 320 dial=E - -
xabp E 12179 B 10 8194 M 11.22 dial=S handset cordless_phone
xabq A 15024 X1 1c 3251 M 320 dial=A - -
xabq A 15024 X2 1c 2504 M 320 dial=A - -
xabr E 12911 B 1s 1577 M 320 dial=A headphone regular_phone
xabs E 10971 A 1s 6363 F 320 dial=E handset regular_phone
xabt E 14276 B 30 4981 F 47.96 dial=R handset regular_phone
xabu A 15015 A 1s 5581 M 320 dial=A spkr_phone cellphone
xabv A 15054 B 30 5203 M 33.58 dial=A handset cellphone
xabw E 10695 A 30 7996 F 38.12 dial=S spkr_phone cellphone
xabx R 15281 B 30 8364 F 77.3 dial=R handset regular_phone
xaby E 12411 B 10 2898 M 10.15 dial=A headphone cellphone
xabz E 16047 A 1s 1668 F 320 dial=S handset cellphone
xaca E 11905 A 1s 2363 M 320 dial=A handset regular_phone
xacb E 14277 A 30 7903 F 33.53 dial=R headphone cellphone
xacc E 16576 X1 1c 3077 M 320 dial=E - -
xacc E 16576 X2 1c 3441 F 320 nontar - -
xacd E 11444 A 30 8006 F 66.71 dial=M handset cellphone
xace E 14228 A 10 7240 M 23.32 dial=S spkr_phone cordless_phone
xacf E 11018 A 1s 2308 M 320 dial=M headphone regular_phone
xacg E 10666 B 1s 5673 F 320 dial=E handset regular_phone
xach E 13537 A 1s 1199 F 320 dial=R spkr_phone cellphone
xaci E 10174 A 30 3574 F 118.03 dial=E handset cellphone
xacj E 11705 A 1s 8825 F 320 dial=S handset cellphone
xack R 14561 B 10 4460 M 11.18 dial=R handset regular_phone
xacl E 11986 B 1s 1901 F 320 dial=M handset regular_phone
xacm E 15989 B 1s 6652 F 320 dial=A handset cordless_phone
xacn E 12038 B 10 3107 F 39.53 dial=M handset regular_phone
xaco E 11535 B 30 2162 F 26.17 dial=A handset regular_phone
xacp E 11056 X1 1c 7088 F 320 nontar - -
xacp E 11056 X2 1c 3304 F 320 dial=E - -
xacq E 14121 A 10 8640 M 10.45 dial=S handset regular_phone
xacr E 10735 X1 1c 8577 F 320 dial=E - -
xacr E 10735 X2 1c 4541 F 320 nontar - -
xacs E 10960 A 1s 4206 M 320 dial=S handset cellphone
xact R 15281 A 10 8815 F 11.54 dial=R handset regular_phone
xacu R 15516 X1 1c 8796 F 320 dial=R - -
xacu R 15516 X2 1c 3430 M 320 dial=R - -
xacv E 15245 B 30 2450 M 101.76 dial=S headphone cordless_phone
xacw E 12040 B 10 1300 M 9.98 dial=E handset regular_phone
xacx E 11151 B 30 3304 F 64.23 dial=E handset regular_phone
xacy E 12879 B 10 8624 F 35.12 dial=E handset regular_phone
xacz E 15708 A 30 1892 M 63.44 dial=S handset regular_phone
xada E 14286 B 30 1542 F 58.29 dial=S handset regular_phone
xadb E 10473 X1 1c 3807 M 320 dial=R - -
xadb E 10473 X2 1c 2183 F 320 dial=E - -
xadc E 15276 X1 1c 6375 F 320 dial=A - -
xadc E 15276 X2 1c 8069 M 320 nontar - -
xadd A 13324 X1 1c 8478 M 320 dial=A - -
xadd A 13324 X2 1c 3001 M 320 nontar - -
xade E 11695 B 30 6040 F 74.78 dial=E handset regular_phone
xadf E 10195 B 30 6963 F 36.12 dial=E handset cordless_phone
xadg A 16037 X1 1c 5010 F 320 dial=A - -
xadg A 16037 X2 1c 6275 F 320 nontar - -
xadh E 10401 X1 1c 7276 F 320 dial=S - -
xadh E 10401 X2 1c 3097 M 320 dial=E - -
xadi E 10854 B 30 4322 F 85.8 dial=E handset regular_phone
xadj E 12237 B 10 1148 F 20.8 dial=M handset cellphone
xadk E 11409 X1 1c 2647 F 320 dial=E - -
xadk E 11409 X2 1c 8483 M 320 dial=S - -
xadl E 12514 X1 1c 4346 M 320 nontar - -
xadl E 12514 X2 1c 8484 M 320 dial=S - -
xadm E 10675 A 30 1519 M 35.22 dial=M handset cellphone
xadn M 13927 X1 1c 6035 F 320 nontar - -
xadn M 13927 X2 1c 6206 M 320 dial=M - -
xado E 15136 A 30 3430 M 78.73 dial=R handset regular_phone
xadp E 11932 A 1s 2403 F 320 dial=S earbud cellphone
xadq E 10521 B 30 6732 F 57.03 dial=S unknown unknown
xadr M 13413 B 10 8427 M 11.43 dial=M handset regular_phone
